"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 10:00","2023","10","01","10:00","20.3","","14.5","","69","","0.0","","31","","4","","","","101.97","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 11:00","2023","10","01","11:00","22.3","","13.9","","59","","0.0","","1","","8","","","","101.95","","26","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 12:00","2023","10","01","12:00","23.4","","14.0","","55","","0.0","","2","","8","","","","101.94","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 13:00","2023","10","01","13:00","23.7","","13.9","","54","","0.0","","36","","8","","","","101.87","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 14:00","2023","10","01","14:00","24.3","","14.8","","55","","0.0","","5","","9","","","","101.85","","28","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 15:00","2023","10","01","15:00","23.7","","14.6","","57","","0.0","","2","","9","","","","101.81","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 16:00","2023","10","01","16:00","22.8","","15.6","","64","","0.0","","36","","6","","","","101.82","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 17:00","2023","10","01","17:00","21.9","","15.7","","68","","0.0","","1","","3","","","","101.84","","26","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 18:00","2023","10","01","18:00","19.7","","16.6","","82","","0.0","","","","0","","","","101.87","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 19:00","2023","10","01","19:00","16.6","","15.0","","91","","0.0","","","","0","","","","101.89","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 20:00","2023","10","01","20:00","15.3","","14.8","","97","","0.0","","0","","1","","","","101.93","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 21:00","2023","10","01","21:00","13.9","","13.4","","97","","0.0","","","","0","","","","101.95","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 22:00","2023","10","01","22:00","12.8","","12.4","","97","","0.0","","32","","2","","","","101.96","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 23:00","2023","10","01","23:00","12.4","","12.2","","99","","0.0","","34","","4","","","","101.99","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 00:00","2023","10","02","00:00","11.8","","11.6","","99","","0.0","","35","","5","","","","102.00","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 01:00","2023","10","02","01:00","10.7","","10.5","","98","","0.0","","","","0","","","","101.98","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 02:00","2023","10","02","02:00","10.1","","9.8","","99","","0.0","","32","","3","","","","101.97","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 03:00","2023","10","02","03:00","9.9","","9.7","","99","","0.0","","33","","5","","","","101.97","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 04:00","2023","10","02","04:00","9.2","","9.0","","99","","0.0","","0","","1","","","","101.97","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 05:00","2023","10","02","05:00","8.2","","8.0","","99","","0.0","","0","","1","","","","101.96","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 06:00","2023","10","02","06:00","8.5","","8.3","","99","","0.0","","32","","3","","","","102.01","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 07:00","2023","10","02","07:00","10.7","","9.8","","94","","0.3","","34","","7","","","","102.01","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 08:00","2023","10","02","08:00","14.6","","10.5","","76","","0.0","","3","","4","","","","102.03","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 09:00","2023","10","02","09:00","16.6","","10.0","","65","","0.0","","2","","4","","","","102.03","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 10:00","2023","10","02","10:00","18.4","","7.6","","49","","0.0","","36","","2","","","","101.98","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 11:00","2023","10","02","11:00","20.7","","10.6","","52","","0.0","","8","","2","","","","101.94","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 12:00","2023","10","02","12:00","21.5","","7.7","","41","","0.0","","20","","8","","","","101.88","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 13:00","2023","10","02","13:00","22.2","","8.9","","43","","0.0","","16","","8","","","","101.82","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 14:00","2023","10","02","14:00","22.4","","7.7","","39","","0.0","","15","","6","","","","101.76","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 15:00","2023","10","02","15:00","23.0","","8.2","","39","","0.0","","17","","6","","","","101.70","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 16:00","2023","10","02","16:00","22.7","","8.9","","41","","0.0","","21","","3","","","","101.65","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 17:00","2023","10","02","17:00","21.2","","8.8","","45","","0.0","","19","","8","","","","101.58","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 18:00","2023","10","02","18:00","15.9","","11.4","","75","","0.0","","19","","3","","","","101.58","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 19:00","2023","10","02","19:00","16.8","","10.8","","67","","0.0","","20","","6","","","","101.50","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 20:00","2023","10","02","20:00","14.8","","11.4","","80","","0.0","","19","","2","","","","101.54","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 21:00","2023","10","02","21:00","16.6","","11.1","","70","","0.0","","21","","7","","","","101.49","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 22:00","2023","10","02","22:00","14.8","","10.8","","77","","0.0","","22","","5","","","","101.49","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-02 23:00","2023","10","02","23:00","16.6","","11.4","","71","","0.0","","23","","8","","","","101.48","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 00:00","2023","10","03","00:00","17.3","","12.9","","75","","0.0","","22","","8","","","","101.42","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 01:00","2023","10","03","01:00","17.1","","14.2","","83","","0.0","","26","","9","","","","101.45","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 02:00","2023","10","03","02:00","17.1","","14.6","","85","","0.0","","24","","9","","","","101.41","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 03:00","2023","10","03","03:00","17.2","","14.7","","85","","0.0","","25","","12","","","","101.38","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 04:00","2023","10","03","04:00","16.8","","14.6","","87","","0.0","","25","","11","","","","101.36","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 05:00","2023","10","03","05:00","16.8","","14.9","","89","","0.0","","25","","14","","","","101.40","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 06:00","2023","10","03","06:00","16.9","","15.2","","90","","0.0","","25","","15","","","","101.46","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 07:00","2023","10","03","07:00","17.4","","15.5","","89","","0.0","","24","","15","","","","101.46","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 08:00","2023","10","03","08:00","18.4","","15.8","","85","","0.0","","24","","17","","","","101.46","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 09:00","2023","10","03","09:00","19.8","","16.1","","79","","0.0","","24","","14","","","","101.49","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 10:00","2023","10","03","10:00","21.1","","16.7","","76","","0.0","","25","","13","","","","101.48","","26","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 11:00","2023","10","03","11:00","23.2","","16.5","","66","","0.0","","24","","14","","","","101.47","","28","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 12:00","2023","10","03","12:00","25.2","","17.0","","60","","0.0","","25","","13","","","","101.45","","30","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 13:00","2023","10","03","13:00","26.0","","17.4","","59","","0.0","","22","","14","","","","101.39","","32","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 14:00","2023","10","03","14:00","27.1","","17.7","","56","","0.0","","21","","13","","","","101.34","","33","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 15:00","2023","10","03","15:00","26.5","","16.4","","54","","0.0","","23","","13","","","","101.33","","31","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 16:00","2023","10","03","16:00","26.4","","17.0","","56","","0.0","","23","","11","","","","101.32","","32","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 17:00","2023","10","03","17:00","25.2","","17.2","","61","","0.0","","23","","8","","","","101.30","","31","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 18:00","2023","10","03","18:00","23.4","","17.4","","69","","0.0","","23","","7","","","","101.32","","29","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 19:00","2023","10","03","19:00","22.6","","16.9","","70","","0.0","","23","","7","","","","101.37","","28","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 20:00","2023","10","03","20:00","21.3","","16.7","","75","","0.0","","24","","7","","","","101.38","","26","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 21:00","2023","10","03","21:00","21.4","","17.4","","78","","0.0","","25","","9","","","","101.41","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 22:00","2023","10","03","22:00","20.9","","17.6","","81","","0.0","","25","","9","","","","101.40","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-03 23:00","2023","10","03","23:00","20.1","","17.2","","83","","0.0","","25","","9","","","","101.41","","26","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 00:00","2023","10","04","00:00","19.2","","16.7","","85","","0.0","","26","","5","","","","101.45","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 01:00","2023","10","04","01:00","19.1","","16.7","","86","","0.0","","24","","13","","","","101.45","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 02:00","2023","10","04","02:00","18.7","","16.3","","86","","0.0","","24","","10","","","","101.47","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 03:00","2023","10","04","03:00","18.3","","16.2","","88","","0.0","","23","","6","","","","101.52","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 04:00","2023","10","04","04:00","17.5","","15.8","","90","","0.0","","24","","6","","","","101.57","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 05:00","2023","10","04","05:00","17.6","","15.9","","90","","0.0","","25","","11","","","","101.61","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 06:00","2023","10","04","06:00","17.2","","15.5","","90","","0.0","","24","","10","","","","101.67","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 07:00","2023","10","04","07:00","17.8","","15.9","","88","","0.0","","24","","8","","","","101.72","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 08:00","2023","10","04","08:00","18.9","","16.1","","84","","0.0","","26","","11","","","","101.77","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 09:00","2023","10","04","09:00","20.2","","16.3","","78","","0.0","","24","","8","","","","101.78","","25","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 10:00","2023","10","04","10:00","22.8","","16.7","","68","","0.0","","29","","5","","","","101.76","","28","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 11:00","2023","10","04","11:00","24.7","","16.0","","59","","0.0","","27","","2","","","","101.72","","29","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 12:00","2023","10","04","12:00","26.3","","17.1","","57","","0.0","","15","","8","","","","101.65","","32","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 13:00","2023","10","04","13:00","27.6","","16.4","","51","","0.0","","16","","3","","","","101.60","","32","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 14:00","2023","10","04","14:00","28.6","","14.7","","43","","0.0","","18","","6","","","","101.57","","32","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 15:00","2023","10","04","15:00","29.3","","14.4","","40","","0.0","","15","","2","","","","101.52","","33","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 16:00","2023","10","04","16:00","29.0","","12.7","","37","","0.0","","16","","3","","","","101.50","","32","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 17:00","2023","10","04","17:00","24.9","","17.5","","64","","0.0","","13","","1","","","","101.48","","31","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 18:00","2023","10","04","18:00","20.1","","16.6","","80","","0.0","","","","0","","","","101.47","","25","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 19:00","2023","10","04","19:00","21.3","","15.7","","71","","0.0","","11","","7","","","","101.45","","26","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 20:00","2023","10","04","20:00","22.3","","16.0","","68","","0.0","","11","","8","","","","101.43","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 21:00","2023","10","04","21:00","18.0","","15.8","","87","","0.0","","18","","1","","","","101.44","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 22:00","2023","10","04","22:00","20.5","","16.5","","78","","0.0","","14","","7","","","","101.43","","25","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-04 23:00","2023","10","04","23:00","17.3","","15.3","","88","","0.0","","0","","1","","","","101.46","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 00:00","2023","10","05","00:00","15.9","","15.1","","95","","0.0","","15","","2","","","","101.49","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 01:00","2023","10","05","01:00","15.4","","14.9","","97","","0.0","","0","","1","","","","101.51","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 02:00","2023","10","05","02:00","14.8","","13.4","","92","","0.0","","14","","3","","","","101.49","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 03:00","2023","10","05","03:00","16.7","","14.9","","90","","0.0","","15","","3","","","","101.46","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 04:00","2023","10","05","04:00","15.5","","13.7","","89","","0.0","","15","","1","","","","101.44","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 05:00","2023","10","05","05:00","17.7","","15.5","","87","","0.0","","14","","5","","","","101.49","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 06:00","2023","10","05","06:00","15.2","","14.7","","97","","0.0","","13","","4","","","","101.50","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 07:00","2023","10","05","07:00","19.6","","16.0","","80","","0.0","","16","","5","","","","101.52","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 08:00","2023","10","05","08:00","21.6","","16.9","","75","","0.0","","18","","7","","","","101.53","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 09:00","2023","10","05","09:00","23.6","","17.3","","68","","0.0","","18","","8","","","","101.53","","29","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 10:00","2023","10","05","10:00","25.6","","16.1","","56","","0.0","","19","","14","","","","101.50","","30","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 11:00","2023","10","05","11:00","26.6","","14.2","","47","","0.0","","21","","13","","","","101.43","","30","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 12:00","2023","10","05","12:00","26.9","","13.1","","42","","0.0","","20","","12","","","","101.36","","30","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 13:00","2023","10","05","13:00","28.0","","13.0","","40","","0.0","","19","","11","","","","101.27","","31","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 14:00","2023","10","05","14:00","28.2","","12.9","","39","","0.0","","20","","8","","","","101.20","","31","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 15:00","2023","10","05","15:00","27.6","","12.3","","39","","0.0","","11","","9","","","","101.13","","30","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 16:00","2023","10","05","16:00","26.2","","15.9","","53","","0.0","","12","","9","","","","101.09","","31","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 17:00","2023","10","05","17:00","24.1","","17.5","","67","","0.0","","13","","9","","","","101.05","","30","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 18:00","2023","10","05","18:00","22.6","","17.1","","71","","0.0","","14","","6","","","","101.05","","28","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 19:00","2023","10","05","19:00","21.7","","16.6","","73","","0.0","","15","","7","","","","101.06","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 20:00","2023","10","05","20:00","20.7","","16.4","","76","","0.0","","15","","7","","","","101.06","","26","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 21:00","2023","10","05","21:00","19.6","","15.7","","78","","0.0","","13","","6","","","","101.04","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 22:00","2023","10","05","22:00","18.5","","14.1","","75","","0.0","","13","","4","","","","101.00","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-05 23:00","2023","10","05","23:00","18.9","","11.9","","64","","0.0","","14","","8","","","","101.00","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 00:00","2023","10","06","00:00","18.8","","11.0","","61","","0.0","","18","","3","","","","101.00","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 01:00","2023","10","06","01:00","18.9","","11.6","","63","","0.0","","14","","9","","","","100.97","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 02:00","2023","10","06","02:00","18.4","","12.8","","70","","0.0","","13","","6","","","","100.94","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 03:00","2023","10","06","03:00","19.2","","13.1","","68","","0.0","","15","","12","","","","100.91","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 04:00","2023","10","06","04:00","18.7","","13.8","","73","","0.0","","15","","10","","","","100.91","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 05:00","2023","10","06","05:00","18.5","","14.1","","76","","0.0","","15","","13","","","","100.90","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 06:00","2023","10","06","06:00","18.4","","14.4","","78","","0.0","","14","","14","","","","100.88","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 07:00","2023","10","06","07:00","18.4","","14.6","","79","","0.0","","14","","14","","","","100.89","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 08:00","2023","10","06","08:00","19.4","","14.9","","75","","0.0","","14","","15","","","","100.88","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 09:00","2023","10","06","09:00","20.3","","15.0","","72","","0.0","","15","","15","","","","100.86","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 10:00","2023","10","06","10:00","21.1","","15.3","","69","","0.0","","15","","14","","","","100.81","","25","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 11:00","2023","10","06","11:00","22.0","","15.3","","66","","0.0","","16","","15","","","","100.81","","26","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 12:00","2023","10","06","12:00","22.3","","15.6","","66","","0.0","","14","","15","","","","100.75","","27","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 13:00","2023","10","06","13:00","23.3","","16.2","","65","","0.0","","14","","19","","","","100.68","","28","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 14:00","2023","10","06","14:00","23.2","","16.1","","64","","0.0","","15","","16","","","","100.62","","28","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 15:00","2023","10","06","15:00","23.2","","16.1","","65","","0.0","","15","","15","","","","100.61","","28","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-06 16:00","2023","10","06","16:00","19.4","","17.2","","87","","0.0","","29","","18","","","","100.70","","","","","","NA"
